,code,start,duration,A/C,M/F,appearance
0,"['Approach', 'None']","[56240, 59360]","[2720, 2960]",Child,Female,"{'포니테일, 아이보리색 점퍼, 검정색 바지'}"
1,"['Approach', 'None']","[71420, 77400]","[5520, 6320]",Child,Female,"{'포니테일, 아이보리색 점퍼, 검정색 바지'}"
2,"['Approach', 'None']","[48240, 56640]","[9240, 15600]",Child,Male,"{'검정색 점퍼, 청바지, 검정/흰색 운동화'}"
3,"['Approach', 'None']","[71200, 77400]","[5920, 6360]",Child,Male,"{'검정색 점퍼, 청바지, 검정/흰색 운동화'}"
4,"['Approach', 'None']","[238160, 242320]","[4160, 7760]",Child,Male,"{'검정 마스크, 흰색 후리스, 회색 트레이닝 바지'}"
5,"['Approach', 'None']","[47920, 56480]","[8640, 16480]",Adult,Female,"{'검정 핸드백, 흰색 점퍼, 아이보리색 바지'}"
6,"['Approach', 'None']","[71200, 77200]","[6000, 6640]",Adult,Female,"{'검정 핸드백, 흰색 점퍼, 아이보리색 바지'}"
7,"['Approach', 'None']","[209600, 216480]","[6880, 13520]",Adult,Female,"{'초록색 맨투맨, 검정 바지'}"
8,"['Approach', 'None']","[874000, 888000]","[5200, 20960]",Adult,Female,"{'검정색 롱코트, 연두색 후리스 입은 아이와 동행'}"
9,"['Approach', 'None']","[873600, 878560]","[5040, 7440]",Child,Male,"{'연두색 후리스, 흰색 바지'}"
10,"['Approach', 'None']","[886400, 895960]","[9280, 19120]",Child,Male,"{'연두색 후리스, 흰색 바지'}"
11,"['Approach', 'None']","[918960, 922480]","[3520, 14160]",Child,Male,"{'연두색 후리스, 흰색 바지'}"
12,"['Approach', 'None']","[838000, 844000]","[6000, 960]",Child,Male,"{'검정색 마스크, 회색 맨투맨, 회색 트레이닝 바지'}"
13,"['Approach', 'None']","[891280, 900480]","[8720, 17520]",Child,Male,"{'검정색 마스크, 회색 맨투맨, 회색 트레이닝 바지'}"
14,"['Approach', 'None']","[839120, 851200]","[12160, 5520]",Adult,Female,"{'검정 크로스백, 회색 맨투맨, 검정색 바지'}"
15,"['Approach', 'Touch', 'None', 'Gesture']","[856720, 860280, 863560, 867400]","[3120, 3280, 3840, 4960]",Adult,Female,"{'검정 크로스백, 회색 맨투맨, 검정색 바지'}"
16,"['Approach', 'None', 'None']","[885160, 889360, 893320]","[8160, 34160, 15280]",Adult,Female,"{'검정 크로스백, 회색 맨투맨, 검정색 바지'}"
17,"['Approach', 'None']","[908680, 911240]","[2560, 15200]",Adult,Female,"{'검정 크로스백, 회색 맨투맨, 검정색 바지'}"
18,"['Approach', 'Touch', 'None']","[926440, 927720, 930680]","[1280, 2960, 6080]",Adult,Female,"{'검정 크로스백, 회색 맨투맨, 검정색 바지'}"
19,"['Approach', 'None', 'Touch', 'None', 'None', 'Touch', 'None', 'Touch']","[783840, 824520, 844320, 848040, 804560, 813840, 821280, 823760]","[40680, 18880, 4720, 39040, 9280, 7440, 2480, 6000]",Adult,Female,"{'초록색 맨투맨, 검정 바지', '검정색 맨투맨, 검정색 바지, 흰색 운동화'}"
20,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[842320, 848240, 852960, 854000, 857600, 864320]","[5920, 4720, 1280, 3600, 6720, 12000]",Child,Male,"{'검정색 맨투맨, 검정색 바지, 흰색 운동화'}"
21,"['Approach', 'None', 'Touch', 'None']","[790960, 827680, 833120, 837040]","[36400, 5440, 3920, 3200]",Child,Female,"{'포니테일, 아이보리색 점퍼, 검정색 바지'}"
