uid,pid,date,filename,start,duration,A/C,behavior,code,M/F,appearance
0,0,11월 19일,01_20221119085958_part2,56240,2720,Child,물리적거리,Approach,Female,"포니테일, 아이보리색 점퍼, 검정색 바지"
0,0,11월 19일,01_20221119085958_part2,59360,2960,Child,상호작용시도,None,Female,"포니테일, 아이보리색 점퍼, 검정색 바지"
0,1,11월 19일,01_20221119085958_part2,71420,5520,Child,물리적거리,Approach,Female,"포니테일, 아이보리색 점퍼, 검정색 바지"
0,1,11월 19일,01_20221119085958_part2,77400,6320,Child,상호작용시도,None,Female,"포니테일, 아이보리색 점퍼, 검정색 바지"
1,2,11월 19일,01_20221119085958_part2,48240,9240,Child,물리적거리,Approach,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화"
1,2,11월 19일,01_20221119085958_part2,56640,15600,Child,상호작용시도,None,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화"
1,3,11월 19일,01_20221119085958_part2,71200,5920,Child,물리적거리,Approach,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화"
1,3,11월 19일,01_20221119085958_part2,77400,6360,Child,상호작용시도,None,Male,"검정색 점퍼, 청바지, 검정/흰색 운동화"
2,4,11월 19일,01_20221119085958_part2,238160,4160,Child,물리적거리,Approach,Male,"검정 마스크, 흰색 후리스, 회색 트레이닝 바지"
2,4,11월 19일,01_20221119085958_part2,242320,7760,Child,상호작용시도,None,Male,"검정 마스크, 흰색 후리스, 회색 트레이닝 바지"
5,5,11월 19일,01_20221119085958_part2,47920,8640,Adult,물리적거리,Approach,Female,"검정 핸드백, 흰색 점퍼, 아이보리색 바지"
5,5,11월 19일,01_20221119085958_part2,56480,16480,Adult,상호작용시도,None,Female,"검정 핸드백, 흰색 점퍼, 아이보리색 바지"
5,6,11월 19일,01_20221119085958_part2,71200,6000,Adult,물리적거리,Approach,Female,"검정 핸드백, 흰색 점퍼, 아이보리색 바지"
5,6,11월 19일,01_20221119085958_part2,77200,6640,Adult,상호작용시도,None,Female,"검정 핸드백, 흰색 점퍼, 아이보리색 바지"
8,7,11월 19일,01_20221119085958_part2,209600,6880,Adult,물리적거리,Approach,Female,"초록색 맨투맨, 검정 바지"
8,7,11월 19일,01_20221119085958_part2,216480,13520,Adult,상호작용시도,None,Female,"초록색 맨투맨, 검정 바지"
10,8,11월 19일,01_20221119105955_part1,874000,5200,Adult,물리적거리,Approach,Female,"검정색 롱코트, 연두색 후리스 입은 아이와 동행"
10,8,11월 19일,01_20221119105955_part1,888000,20960,Adult,상호작용시도,None,Female,"검정색 롱코트, 연두색 후리스 입은 아이와 동행"
11,9,11월 19일,01_20221119105955_part1,873600,5040,Child,물리적거리,Approach,Male,"연두색 후리스, 흰색 바지"
11,9,11월 19일,01_20221119105955_part1,878560,7440,Child,상호작용시도,None,Male,"연두색 후리스, 흰색 바지"
11,10,11월 19일,01_20221119105955_part1,886400,9280,Child,물리적거리,Approach,Male,"연두색 후리스, 흰색 바지"
